iter	Logloss
0	0.6630863091
1	0.6346519878
2	0.6079649898
3	0.5851366563
4	0.56404796
5	0.5448082637
6	0.5272327715
7	0.510768795
8	0.4964291711
9	0.4831981357
10	0.4710760045
11	0.4599489576
12	0.449362188
13	0.440504669
14	0.4314951125
15	0.4235774496
16	0.4162993264
17	0.4098208623
18	0.403357817
19	0.3973070732
20	0.3918077771
21	0.386254178
22	0.3811505018
23	0.3763012253
24	0.371898314
25	0.3684376135
26	0.3657092901
27	0.3628540083
28	0.3600687708
29	0.3569163763
30	0.3547444922
31	0.3515054135
32	0.3487593177
33	0.3462677033
34	0.3438300342
35	0.3416378371
36	0.3392523786
37	0.3377178253
38	0.3354675082
39	0.3329138299
40	0.3315158225
41	0.3300352229
42	0.32903979
43	0.3275737443
44	0.3265656808
45	0.324932626
46	0.3236325889
47	0.3218865407
48	0.3206297816
49	0.3192468794
50	0.3184097572
51	0.3172357616
52	0.3164338186
53	0.3156557371
54	0.3142825146
55	0.3133363265
56	0.31230558
57	0.3117011758
58	0.3110211528
59	0.3102792742
60	0.3089860139
61	0.3081755358
62	0.307575859
63	0.3069799815
64	0.3063233364
65	0.305786927
66	0.3051749635
67	0.3045247611
68	0.3040387469
69	0.3030470354
70	0.3023853588
71	0.3017745487
72	0.300951501
73	0.3004052715
74	0.2998910503
75	0.2994392049
76	0.298467287
77	0.2976978266
78	0.2971581439
79	0.2965539326
80	0.2961031363
81	0.2955674299
82	0.2950592682
83	0.294697494
84	0.2941567136
85	0.2937601118
86	0.2928981661
87	0.2925146719
88	0.2921466213
89	0.291893672
90	0.2912200414
91	0.2908037728
92	0.2902182903
93	0.2897725322
94	0.2892455432
95	0.288642944
96	0.2881926365
97	0.2875699231
98	0.28713402
99	0.2866823861
100	0.2862621147
101	0.2858973146
102	0.2854393602
103	0.2849560286
104	0.2845260933
105	0.2843148523
106	0.2840314137
107	0.2835195683
108	0.2833171542
109	0.2829763477
110	0.2826176344
111	0.2821873001
112	0.2816553902
113	0.2813175991
114	0.2809656083
115	0.2806545653
116	0.2803519011
117	0.2795299885
118	0.2790576381
119	0.2788365865
120	0.2782829041
121	0.2779968566
122	0.277806244
123	0.277380771
124	0.2771094912
125	0.2766828616
126	0.2764438239
127	0.2761512112
128	0.2758123186
129	0.2754794706
130	0.2751926806
131	0.2747112975
132	0.2744027087
133	0.2737571668
134	0.273517318
135	0.2730820084
136	0.2727147678
137	0.2720570442
138	0.2717804825
139	0.2714263428
140	0.2710185182
141	0.2708699312
142	0.2705780295
143	0.2703748853
144	0.2699089616
145	0.2696603152
146	0.2694165581
147	0.2688359264
148	0.2683690859
149	0.2681307128
150	0.2677706122
151	0.2675483595
152	0.267264183
153	0.2670100123
154	0.2667087208
155	0.266447872
156	0.266244359
157	0.2658038588
158	0.2655340483
159	0.2652102504
160	0.264966087
161	0.2647946452
162	0.2645033161
163	0.264243504
164	0.2636767284
165	0.2633660176
166	0.2630757773
167	0.2627040023
168	0.2624590957
169	0.2621970951
170	0.2617818919
171	0.2613817902
172	0.2610729189
173	0.2608243043
174	0.2605467578
175	0.2602440065
176	0.260079898
177	0.2598878694
178	0.2593348717
179	0.2589898482
180	0.2587968291
181	0.2584787335
182	0.2582149398
183	0.2579789834
184	0.257780794
185	0.2576433986
186	0.2573647731
187	0.257054518
188	0.25682456
189	0.2565702137
190	0.2563735488
191	0.2561118917
192	0.2558064147
193	0.2554571499
194	0.2549833499
195	0.2548212487
196	0.254652515
197	0.2545168432
198	0.2542523558
199	0.2539400882
200	0.2535726181
201	0.2533650097
202	0.2528613964
203	0.2525321424
204	0.2523237594
205	0.2521353006
206	0.2519237314
207	0.2515846782
208	0.2514288023
209	0.2512075814
210	0.2510200274
211	0.2508211288
212	0.2505773998
213	0.2503554152
214	0.2500449924
215	0.249794827
216	0.249461341
217	0.2492848402
218	0.2490623112
219	0.2489226978
220	0.2487650783
221	0.2484648847
222	0.2482241667
223	0.2480591138
224	0.2479305388
225	0.2477898928
226	0.2476641597
227	0.2474448689
228	0.2472321374
229	0.2470092258
230	0.2467771611
231	0.2465519608
232	0.2464276361
233	0.2461491895
234	0.245932775
235	0.2456103064
236	0.2454645879
237	0.2453166617
238	0.2450398426
239	0.2448402826
240	0.2445926143
241	0.2444241543
242	0.244217834
243	0.2439718825
244	0.2437678019
245	0.2435129255
246	0.2433811302
247	0.2432258121
248	0.242913966
249	0.2426553066
250	0.2424609552
251	0.2423144436
252	0.2421803496
253	0.2420764177
254	0.2416421765
255	0.2414128197
256	0.2412495447
257	0.2407982614
258	0.2406582223
259	0.2404749148
260	0.240300079
261	0.2402013467
262	0.2400643907
263	0.2397625318
264	0.2395274503
265	0.2393001543
266	0.2391437094
267	0.2389374642
268	0.2387870613
269	0.2386853631
270	0.2384867157
271	0.2383362169
272	0.2381200052
273	0.2379856282
274	0.2378742497
275	0.2376905914
276	0.2375777419
277	0.2373368509
278	0.2371964812
279	0.2369381582
280	0.2366069017
281	0.2364478346
282	0.236336666
283	0.2361881654
284	0.2358943719
285	0.2357580725
286	0.2354983226
287	0.2352708343
288	0.2351170419
289	0.2348071629
290	0.2345420943
291	0.2343852287
292	0.234147346
293	0.2336701836
294	0.2334791232
295	0.2333652905
296	0.2331628412
297	0.2329496776
298	0.2328123002
299	0.2326490164
300	0.2325174706
301	0.2322936504
302	0.2320233892
303	0.2318512526
304	0.2317227389
305	0.2315875147
306	0.2313580394
307	0.2311609804
308	0.2308803764
309	0.2306728638
310	0.2304649496
311	0.2302724691
312	0.2301520801
313	0.2299290957
314	0.2297848857
315	0.2296185838
316	0.2295138548
317	0.2293533707
318	0.2292144356
319	0.229061906
320	0.22893108
321	0.2287179987
322	0.2284730503
323	0.2282897459
324	0.2281093057
325	0.2278436921
326	0.2276494293
327	0.2274546342
328	0.2272657648
329	0.2270043901
330	0.2268788879
331	0.2266419115
332	0.2263898342
333	0.2261641075
334	0.2260552051
335	0.225911945
336	0.2257426174
337	0.2254804301
338	0.225321795
339	0.2251057625
340	0.2248706783
341	0.2246631697
342	0.2244853554
343	0.2242830318
344	0.224163044
345	0.2240730616
346	0.2236466198
347	0.2235760401
348	0.2234546859
349	0.2233438661
350	0.2232339651
351	0.223153791
352	0.2229466853
353	0.2226502766
354	0.2225183622
355	0.2222828405
356	0.2220136701
357	0.2217846339
358	0.2213596467
359	0.2211221578
360	0.2209840192
361	0.2208495695
362	0.2207121201
363	0.2204955641
364	0.2203084305
365	0.2202055078
366	0.2200190704
367	0.2196569336
368	0.219284528
369	0.2191004864
370	0.2189380551
371	0.218872505
372	0.2186564293
373	0.2185691953
374	0.2183897041
375	0.2182237386
376	0.2180646383
377	0.2178948674
378	0.2176893417
379	0.2175503916
380	0.217457456
381	0.2172907712
382	0.2171185355
383	0.2170094152
384	0.2168021712
385	0.216674026
386	0.2164568782
387	0.2162400573
388	0.2160964274
389	0.2159352337
390	0.215751794
391	0.215655118
392	0.2152780979
393	0.2151802826
394	0.2149928671
395	0.2147905807
396	0.2146484141
397	0.2145261897
398	0.2143965887
399	0.21421642
400	0.2140537345
401	0.2139640821
402	0.2138038857
403	0.2136374081
404	0.2135102423
405	0.2133653181
406	0.2132215145
407	0.2131361511
408	0.2130365044
409	0.2127713751
410	0.2125472468
411	0.212401402
412	0.2122722925
413	0.2119785267
414	0.2119066046
415	0.2117911816
416	0.211697238
417	0.2114729672
418	0.211354276
419	0.2111313757
420	0.2110001362
421	0.2108606117
422	0.2107462207
423	0.2106139651
424	0.2103324798
425	0.210158116
426	0.2100895214
427	0.2097152298
428	0.2095807236
429	0.209456041
430	0.2093372857
431	0.2092455788
432	0.2090772828
433	0.2088582802
434	0.2085289279
435	0.2083701036
436	0.208176296
437	0.2079740067
438	0.2078461541
439	0.2076511188
440	0.2073846736
441	0.2072817046
442	0.2071427973
443	0.2070421205
444	0.2069209065
445	0.2067926106
446	0.2066811936
447	0.2065604056
448	0.2064852097
449	0.2062553238
450	0.2059530444
451	0.2058109452
452	0.2056548565
453	0.2055364533
454	0.2054572272
455	0.2053760704
456	0.2052840903
457	0.2050866936
458	0.2049420519
459	0.2048690151
460	0.204693091
461	0.2046336304
462	0.2044604784
463	0.2041919142
464	0.2040346365
465	0.2038530218
466	0.2037485743
467	0.2035767516
468	0.2034501261
469	0.2033885514
470	0.203156768
471	0.2030388761
472	0.2029152863
473	0.2027870501
474	0.2026627104
475	0.2025696714
476	0.2024408928
477	0.2023375004
478	0.2022150401
479	0.2020952519
480	0.2019477401
481	0.2018318516
482	0.2015713391
483	0.20145965
484	0.2012250672
485	0.2011064888
486	0.2009749233
487	0.2008425595
488	0.2006929084
489	0.2005121171
490	0.2004197764
491	0.2003158927
492	0.2002110316
493	0.2000581618
494	0.1999223343
495	0.199809201
496	0.1996053812
497	0.1994654891
498	0.1993255904
499	0.1992021151
500	0.1990966206
501	0.1989858979
502	0.1988551803
503	0.1987272696
504	0.1986080363
505	0.1984947348
506	0.1983982007
507	0.1983187081
508	0.1981963675
509	0.1980952999
510	0.1979647623
511	0.1977966376
512	0.1977131918
513	0.1976244673
514	0.1975229194
515	0.1974434339
516	0.1972480687
517	0.1971343759
518	0.1970066133
519	0.1969340974
520	0.1968066314
521	0.1967196318
522	0.1965764316
523	0.1964237943
524	0.1963392519
525	0.1960891694
526	0.1960170494
527	0.1959215264
528	0.1957286991
529	0.1956146109
530	0.1955896148
531	0.195452575
532	0.1953284755
533	0.1951654289
534	0.1950450972
535	0.1949785675
536	0.19489394
537	0.1947892463
538	0.1946764362
539	0.1945266705
540	0.1943636531
541	0.1942104239
542	0.1941037347
543	0.194012988
544	0.193909646
545	0.1938414871
546	0.1936718698
547	0.193611628
548	0.1934638597
549	0.1933867484
550	0.1932683666
551	0.1932027612
552	0.1931146169
553	0.1930147963
554	0.1929097805
555	0.1927985654
556	0.1927163269
557	0.1926050973
558	0.1924616946
559	0.1923892324
560	0.1922728974
561	0.192161622
562	0.1919641061
563	0.1918482799
564	0.1916939281
565	0.1915836302
566	0.1914897757
567	0.1913554177
568	0.1911530539
569	0.1910419104
570	0.1909768171
571	0.1909443243
572	0.1908227826
573	0.1906063251
574	0.1904998639
575	0.19040155
576	0.19029312
577	0.1900922333
578	0.1899795379
579	0.18981397
580	0.1897224851
581	0.1896384511
582	0.1895488124
583	0.1895097597
584	0.1893943713
585	0.18923174
586	0.1891663225
587	0.1890693703
588	0.1889144509
589	0.1888658665
590	0.1887586144
591	0.188640441
592	0.188475277
593	0.1883527468
594	0.1881821825
595	0.1880869272
596	0.187952153
597	0.1878600558
598	0.1877128966
599	0.1876316986
600	0.1875289682
601	0.1874661761
602	0.1873249065
603	0.187260669
604	0.1871412616
605	0.1869999023
606	0.186914534
607	0.1867333182
