iter	Passed	Remaining
0	421	420621
1	435	217522
2	454	150977
3	468	116747
4	481	95872
5	498	82585
6	510	72398
7	520	64507
8	531	58547
9	543	53841
10	557	50102
11	567	46727
12	578	43935
13	589	41489
14	599	39370
15	611	37581
16	621	35940
17	631	34470
18	643	33241
19	654	32089
20	667	31094
21	678	30154
22	690	29332
23	700	28483
24	711	27751
25	724	27132
26	739	26641
27	754	26202
28	772	25868
29	788	25491
30	803	25123
31	818	24751
32	839	24586
33	854	24277
34	869	23960
35	887	23755
36	896	23340
37	908	22997
38	920	22669
39	929	22317
40	940	22006
41	952	21735
42	963	21432
43	975	21203
44	989	20995
45	1001	20768
46	1011	20500
47	1022	20273
48	1034	20072
49	1044	19838
50	1055	19642
51	1067	19453
52	1076	19235
53	1089	19094
54	1101	18932
55	1112	18753
56	1122	18564
57	1137	18472
58	1155	18430
59	1174	18397
60	1194	18391
61	1217	18415
62	1235	18380
63	1290	18878
64	1350	19421
65	1365	19320
66	1379	19215
67	1390	19062
68	1406	18975
69	1419	18860
70	1434	18772
71	1448	18670
72	1458	18521
73	1472	18424
74	1488	18363
75	1502	18261
76	1515	18165
77	1527	18059
78	1538	17935
79	1550	17826
80	1564	17747
81	1580	17688
82	1590	17570
83	1605	17507
84	1621	17456
85	1640	17430
86	1662	17447
87	1681	17422
88	1702	17422
89	1721	17408
90	1741	17395
91	1761	17385
92	1780	17366
93	1793	17289
94	1804	17192
95	1819	17132
96	1831	17051
97	1844	16977
98	1853	16872
99	1870	16832
100	1887	16796
101	1903	16754
102	1926	16773
103	1937	16688
104	1959	16704
105	1977	16678
106	1992	16631
107	2013	16631
108	2033	16626
109	2052	16607
110	2067	16561
111	2078	16481
112	2090	16409
113	2107	16380
114	2133	16417
115	2155	16422
116	2182	16467
117	2202	16461
118	2223	16462
119	2245	16467
120	2262	16437
121	2272	16356
122	2283	16278
123	2294	16206
124	2303	16127
125	2315	16061
126	2326	15991
127	2337	15925
128	2349	15860
129	2366	15836
130	2382	15801
131	2398	15773
132	2416	15749
133	2436	15743
134	2451	15710
135	2467	15674
136	2482	15635
137	2498	15606
138	2516	15590
139	2531	15553
140	2550	15537
141	2565	15504
142	2580	15463
143	2595	15428
144	2610	15393
145	2619	15323
146	2633	15282
147	2650	15258
148	2665	15224
149	2679	15184
150	2697	15164
151	2715	15147
152	2733	15135
153	2758	15156
154	2778	15145
155	2796	15129
156	2812	15104
157	2830	15085
158	2848	15064
159	2864	15037
160	2875	14985
161	2887	14934
162	2896	14874
163	2907	14823
164	2919	14774
165	2929	14715
166	2940	14665
167	2952	14621
168	2964	14577
169	2974	14524
170	2987	14481
171	2996	14425
172	3007	14378
173	3019	14332
174	3028	14278
175	3040	14235
176	3051	14190
177	3061	14138
178	3074	14100
179	3086	14061
180	3095	14006
181	3106	13962
182	3117	13920
183	3127	13868
184	3138	13825
185	3149	13781
186	3158	13731
187	3172	13702
188	3185	13667
189	3198	13634
190	3208	13588
191	3219	13547
192	3230	13506
193	3240	13462
194	3251	13423
195	3263	13385
196	3274	13346
197	3290	13329
198	3304	13302
199	3320	13280
200	3335	13257
201	3349	13232
202	3365	13214
203	3380	13190
204	3397	13175
205	3412	13152
206	3426	13127
207	3438	13093
208	3449	13056
209	3460	13016
210	3469	12974
211	3482	12945
212	3493	12909
213	3504	12870
214	3515	12834
215	3526	12800
216	3536	12760
217	3547	12725
218	3557	12685
219	3566	12645
220	3577	12611
221	3587	12572
222	3600	12545
223	3611	12512
224	3620	12470
225	3631	12436
226	3642	12404
227	3652	12365
228	3662	12329
229	3672	12295
230	3681	12257
231	3694	12228
232	3705	12197
233	3715	12161
234	3725	12129
235	3735	12093
236	3745	12059
237	3756	12025
238	3766	11991
239	3777	11960
240	3788	11930
241	3797	11896
242	3811	11873
243	3823	11845
244	3832	11810
245	3843	11780
246	3853	11748
247	3863	11713
248	3873	11683
249	3882	11648
250	3893	11617
251	3904	11590
252	3914	11556
253	3926	11533
254	3939	11510
255	3954	11491
256	3971	11480
257	3986	11464
258	4000	11445
259	4013	11424
260	4031	11416
261	4045	11396
262	4059	11376
263	4073	11357
264	4088	11341
265	4101	11318
266	4111	11286
267	4122	11259
268	4132	11230
269	4143	11203
270	4154	11174
271	4166	11150
272	4176	11121
273	4187	11095
274	4198	11068
275	4207	11037
276	4218	11010
277	4229	10985
278	4242	10962
279	4252	10935
280	4263	10909
281	4273	10880
282	4283	10853
283	4293	10823
284	4303	10797
285	4314	10771
286	4324	10742
287	4336	10719
288	4347	10695
289	4358	10671
290	4369	10646
291	4380	10621
292	4389	10592
293	4400	10568
294	4412	10544
295	4421	10515
296	4432	10492
297	4444	10469
298	4455	10446
299	4467	10424
300	4479	10401
301	4488	10374
302	4500	10352
303	4512	10330
304	4521	10303
305	4532	10278
306	4543	10255
307	4554	10233
308	4566	10211
309	4582	10200
310	4613	10220
311	4627	10203
312	4640	10185
313	4652	10164
314	4673	10162
315	4694	10160
316	4712	10153
317	4730	10144
318	4744	10127
319	4758	10112
320	4776	10104
321	4791	10089
322	4806	10074
323	4820	10057
324	4830	10031
325	4839	10006
326	4849	9981
327	4862	9962
328	4873	9940
329	4883	9914
330	4893	9891
331	4905	9869
332	4914	9844
333	4926	9823
334	4936	9799
335	4946	9774
336	4957	9753
337	4967	9730
338	4979	9709
339	4990	9687
340	5002	9666
341	5011	9642
342	5023	9621
343	5033	9598
344	5042	9574
345	5053	9552
346	5063	9527
347	5075	9509
348	5086	9488
349	5095	9463
350	5107	9444
351	5119	9424
352	5128	9399
353	5138	9377
354	5150	9357
355	5160	9335
356	5174	9319
357	5187	9302
358	5199	9284
359	5209	9261
360	5220	9241
361	5231	9220
362	5240	9196
363	5251	9176
364	5261	9153
365	5272	9132
366	5283	9113
367	5292	9089
368	5305	9073
369	5317	9053
370	5326	9031
371	5335	9008
372	5347	8988
373	5358	8968
374	5369	8948
375	5380	8929
376	5391	8909
377	5408	8899
378	5424	8887
379	5438	8873
380	5453	8859
381	5468	8847
382	5484	8836
383	5499	8822
384	5517	8813
385	5531	8798
386	5545	8783
387	5554	8761
388	5565	8741
389	5577	8723
390	5586	8700
391	5597	8681
392	5609	8663
393	5619	8643
394	5630	8623
395	5643	8608
396	5658	8594
397	5672	8580
398	5686	8565
399	5702	8553
400	5719	8543
401	5732	8527
402	5747	8513
403	5762	8500
404	5779	8490
405	5794	8477
406	5807	8462
407	5817	8440
408	5830	8424
409	5841	8406
410	5851	8385
411	5861	8365
412	5872	8347
413	5882	8326
414	5893	8307
415	5904	8289
416	5913	8267
417	5927	8253
418	5939	8235
419	5948	8215
420	5959	8196
421	5970	8177
422	5980	8158
423	5995	8144
424	6009	8130
425	6023	8116
426	6038	8103
427	6054	8091
428	6069	8078
429	6084	8065
430	6097	8050
431	6112	8036
432	6126	8022
433	6146	8015
434	6157	7997
435	6168	7979
436	6177	7958
437	6189	7941
438	6200	7923
439	6210	7904
440	6221	7885
441	6232	7867
442	6243	7850
443	6254	7832
444	6265	7814
445	6275	7795
446	6286	7777
447	6297	7759
448	6307	7739
449	6317	7721
450	6333	7709
451	6348	7696
452	6364	7685
453	6378	7671
454	6392	7657
455	6407	7644
